Date,Water Consumption (L)
2023-09-01,2.1370861069626264
2023-09-02,2.6556428757689248
2023-09-03,2.458794547630265
2023-09-04,2.338792635777333
2023-09-05,1.940416776398193
2023-09-06,1.9403950683025823
2023-09-07,1.8522752509513796
2023-09-08,2.579558531197442
2023-09-09,2.3410035105688882
2023-09-10,2.437265320016441
2023-09-11,1.8185260448662222
2023-09-12,2.6729188669457953
2023-09-13,2.54919837672038
2023-09-14,1.9911051996104485
2023-09-15,1.9636424704863906
2023-09-16,1.9650640588680905
2023-09-17,2.073818018663584
2023-09-18,2.272280788469014
2023-09-19,2.188750516777904
2023-09-20,2.062106226178238
2023-09-21,2.3506676052501416
2023-09-22,1.9255444745868378
2023-09-23,2.0629301836816962
2023-09-24,2.1297256589643228
2023-09-25,2.2104629857953326
2023-09-26,2.5066583652537124
2023-09-27,1.9797064039425238
2023-09-28,2.2628109945722503
2023-09-29,2.3331731119758383
2023-09-30,1.841805371447998
2023-10-01,2.841805371447998
2023-10-02,2.441805371447998
2023-10-03,2.241805371447998
